재료 이름,단위 이름,무게,상태
비트,작은술,5.0,
빨강 파프리카,×1cm,1.0,
빨강 파프리카,ⅹ3cm,2.0,
사과,개,150.0,
사과,개,240.0,
사과,개,180.0,
사과,개,160.0,
사과식초,작은술,10.0,
사과즙,컵,600.0,
새송이버섯,개,5.0,
새송이버섯,개,33.33,
새우,마리,3.33,
새우젓국,큰술,15.0,
생강,작은술,5.0,다진
생강즙,작은술,4.5,
생강즙,작은술,5.0,
생크림,작은술,5.0,
생크림,큰술,13.0,
석류즙,작은술,5.0,
설탕,작은술,5.0,
설탕,작은술,6.0,
설탕,작은술,10.0,
설탕,큰술,10.0,
설탕,큰술,15.0,
소금,1⅓큰술,20.0,
소금,작은술,10.0,
소금,작은술,5.0,
소시지,개,20.0,
소시지,개,30.0,
순두부,모,240.0,
순두부,봉지,320.0,
슬라이스연어,장,15.0,
시금치,개,100.0,
시금치,줄기,3.33,
시금치우유 소스,작은술,5.0,
식용유,작은술,10.0,
식용유,작은술,5.0,
식용유,큰술,15.0,
식초,1⅓큰술,20.0,
식초,작은술,5.0,
식초,작은술,16.0,
식초,작은술,4.5,
식초,작은술,4.0,
식초,큰술,15.0,
실치,컵,40.0,
쌀,컴,200.0,
쌀뜨물,1½컵,300.0,
쌀밥,컵,210.0,
아몬드,알,2.0,
아몬드,알,1.67,
아몬드,작은술,4.0,
아스파라거스,개,45.0,
애느타리버섯,가닥,5.0,
애호박,cm,3.0,
양배추,개,300.0,
양상추,장,35.0,
양송이버섯,개,20.0,
양파,*4cm,7.5,
양파,cm,2.0,
양파,cm,1.0,
양파,×1cm,3.33,
양파,×1cm,5.0,
양파,개,160.0,
양파,개,120.0,
양파,개,300.0,
양파,작은술,5.0,다진
연두부,모,100.0,
영콘,개,20.0,
오렌지,개,200.0,
오렌지(껍질),개,200.0,
오미자물,컵,200.0,
오이,cm,10.0,
오이,개,210.0,
오이,개,80.0,
오이,개,160.0,
오이피클,작은술,5.0,다진
올리고당,작은술,5.0,
올리고당,작은술,4.5,
올리브오일,작은술,5.0,
올리브오일,큰술,15.0,
올리브유,작은술,5.0,
올리브유,작은술,6.0,
올리브유,큰술,15.0,
와사비,작은술,3.0,
요거트,컵,200.0,
요리당,작은술,6.0,
요리당,큰술,15.0,
우렁,큰술,12.5,
우민찌,작은술,5.0,
우유,작은술,5.0,
우유,컵,200.0,
우유,큰술,15.0,
은행,개,1.4,
잣,알,1.0,
저염간장,작은술,4.0,
저염된장,작은술,5.0,
저염된장,큰술,15.0,
저염소금,작은술,4.0,
저염치즈,작은술,5.0,
적양배추,×3cm,3.0,
적양파,×1cm,5.0,
전분,작은술,5.0,
주황 파프리카,ⅹ3cm,2.0,
쪽파,cm,1.0,
쪽파,개,10.0,
참기름,1⅓큰술,20.0,
참기름,작은술,6.0,
참기름,작은술,4.0,
참기름,작은술,7.0,
참기름,큰술,15.0,
찹쌀,컵,210.0,
청경채,개,12.5,
청고추,개,20.0,
청국장,작은술,5.0,가루
청국장,큰술,10.0,가루
청양고추,개,10.0,
청양고추,개,20.0,
청양고추,개,5.0,
청파프리카,개,100.0,
청피망,×1cm,1.0,
쳥양고추,개,9.0,
치커리,줄기,3.33,
카놀라유,작은술,4.5,
칵테일새우,마리,4.0,
컬리플라워,송이,120.0,
케일,장,5.0,
콩나물,봉지,180.0,
크림치즈,작은술,5.0,
키위,개,100.0,
토마토,1½개,200.0,
토마토,개,100.0,
토마토,개,200.0,
파,개,280.0,
파,큰술,15.0,
파프리카,개,100.0,
표고버섯,개,10.0,
표고버섯,개,7.5,
표고버섯,개,15.0,
표고버섯,장,10.0,
플레인요거트,1⅓큰술,20.0,
플레인요거트,개,85.0,
플레인요거트,개,70.0,
해바라기씨,작은술,4.0,
호두,알,6.0,
호두,작은술,4.0,
호박,개,150.0,
호박씨,작은술,4.0,
호이트와인,큰술,15.0,
홍고추,개,20.0,
홍고추,개,10.0,
홍고추,개,10.0,다진
홍파프리카,개,100.0,
화이트와인,작은술,5.0,
황태(채),개,1.5,
황파프리카,1½개,140.0,
황파프리카,개,100.0,
후춧,작은술,4.0,가루
흑임자,작은술,6.0,볶은
흑임자,작은술,6.0,
흰로즈케일,장,5.0,
