INGR_NM,UNIT_NM,CONV_WT,STD,MIN,MAX,SAMPLE_COUNT
레몬,작은술,5.0,0.0,5.0,5.0,1
레몬즙,작은술,5.3,0.97,4.5,7.0,5
레몬즙,큰술,15.0,0.0,15.0,15.0,2
마,개,90.0,0.0,90.0,90.0,1
마늘,쪽,4.75,0.5,4.0,5.0,4
마늘,작은술,5.43,0.53,5.0,6.0,7
마늘,개,5.0,0.0,5.0,5.0,4
마늘종,개,6.0,0.0,6.0,6.0,1
마요네즈,작은술,5.0,0.0,5.0,5.0,2
마요네즈,큰술,15.0,0.0,15.0,15.0,1
만두피,장,2.0,0.0,2.0,2.0,1
망고,개,100.0,0.0,100.0,100.0,1
매실액,작은술,5.5,0.71,5.0,6.0,2
매실원액,큰술,15.0,0.0,15.0,15.0,1
머스터드,작은술,4.5,0.0,4.5,4.5,1
메추리알,개,10.0,0.0,10.0,10.0,1
멥쌀,작은술,5.0,0.0,5.0,5.0,1
멸치,마리,1.67,0.0,1.67,1.67,1
멸치,개,6.0,0.0,6.0,6.0,1
멸치액젓,작은술,4.5,0.0,4.5,4.5,1
모시조개,컵,200.0,0.0,200.0,200.0,1
무,개,683.33,76.38,600.0,750.0,3
무염버터,작은술,5.0,0.0,5.0,5.0,1
물엿,작은술,4.5,0.0,4.5,4.5,1
물엿,컵,200.0,0.0,200.0,200.0,1
미니새송이버섯,개,8.57,0.0,8.57,8.57,1
밀가루,큰술,12.5,0.0,12.5,12.5,1
바나나,개,100.0,0.0,100.0,100.0,1
발사믹식초,작은술,5.0,0.0,5.0,5.0,1
발사믹식초,큰술,15.0,0.0,15.0,15.0,1
발사믹크레마,큰술,15.0,0.0,15.0,15.0,1
밥,컵,195.0,21.21,180.0,210.0,2
밥,공기,210.0,0.0,210.0,210.0,1
방울토마토,개,16.67,11.55,10.0,30.0,3
배,개,320.0,0.0,320.0,320.0,1
배추,개,633.33,57.74,600.0,700.0,3
백일송이버섯,컵,65.0,0.0,65.0,65.0,1
버터,작은술,5.33,0.0,5.33,5.33,1
베이컨,장,10.0,0.0,10.0,10.0,2
보라로즈케일,장,5.0,0.0,5.0,5.0,1
보리된장,큰술,15.0,0.0,15.0,15.0,1
부추,줄기,2.0,0.0,2.0,2.0,1
부침가루,큰술,15.0,0.0,15.0,15.0,1
북어채,개,1.67,0.0,1.67,1.67,1
브로콜리,송이,200.0,0.0,200.0,200.0,1
브로콜리,개,400.0,0.0,400.0,400.0,1
블루베리,큰술,15.0,0.0,15.0,15.0,2
비트,작은술,5.0,0.0,5.0,5.0,1
사과,개,182.86,43.86,150.0,250.0,7
사과식초,작은술,10.0,0.0,10.0,10.0,1
사과식초,큰술,15.0,0.0,15.0,15.0,1
사과즙,컵,600.0,0.0,600.0,600.0,1
새송이버섯,개,16.11,15.12,5.0,33.33,3
새우,마리,3.33,0.0,3.33,3.33,1
새우젓국,큰술,15.0,0.0,15.0,15.0,1
생강,작은술,5.0,0.0,5.0,5.0,1
생강즙,작은술,4.75,0.35,4.5,5.0,2
생크림,큰술,13.0,0.0,13.0,13.0,1
생크림,작은술,5.0,0.0,5.0,5.0,1
석류,개,400.0,0.0,400.0,400.0,1
석류즙,작은술,5.0,0.0,5.0,5.0,1
설탕,작은술,5.82,1.47,5.0,10.0,11
설탕,큰술,12.5,3.54,10.0,15.0,2
소금,작은술,6.33,3.21,4.0,10.0,3
소금,큰술,15.0,0.0,15.0,15.0,1
소스,작은술,5.0,0.0,5.0,5.0,1
소시지,개,25.0,7.07,20.0,30.0,2
순두부,모,240.0,0.0,240.0,240.0,1
순두부,봉지,320.0,0.0,320.0,320.0,1
슬라이스연어,장,15.0,0.0,15.0,15.0,1
시금치,줄기,3.33,0.0,3.33,3.33,1
시금치,개,100.0,0.0,100.0,100.0,1
식용유,작은술,7.5,3.54,5.0,10.0,2
식용유,큰술,15.0,0.0,15.0,15.0,2
식초,작은술,6.36,4.27,4.0,16.0,7
식초,큰술,15.0,0.0,15.0,15.0,3
실치,컵,40.0,0.0,40.0,40.0,1
쌀,컴,200.0,0.0,200.0,200.0,1
쌀뜨물,컵,200.0,0.0,200.0,200.0,1
쌀밥,컵,210.0,0.0,210.0,210.0,1
아몬드,알,1.83,0.24,1.67,2.0,2
아몬드,작은술,4.0,0.0,4.0,4.0,1
아스파라거스,개,45.0,0.0,45.0,45.0,1
애느타리버섯,가닥,5.0,0.0,5.0,5.0,1
애호박,개,46.67,0.0,46.67,46.67,1
양배추,개,300.0,0.0,300.0,300.0,1
양상추,장,36.67,2.89,35.0,40.0,3
양송이버섯,개,20.0,0.0,20.0,20.0,1
양파,개,195.0,77.24,120.0,300.0,4
양파,작은술,5.0,0.0,5.0,5.0,1
연두부,모,110.0,14.14,100.0,120.0,2
영콘,개,20.0,0.0,20.0,20.0,1
오렌지,개,200.0,0.0,200.0,200.0,2
오렌지즙,큰술,15.0,0.0,15.0,15.0,1
오미자물,컵,200.0,0.0,200.0,200.0,1
오이,개,152.5,53.77,80.0,210.0,4
오이고추,개,15.0,0.0,15.0,15.0,1
오이피클,작은술,5.0,0.0,5.0,5.0,1
올리고당,작은술,4.75,0.35,4.5,5.0,2
올리브오일,작은술,5.0,0.0,5.0,5.0,1
올리브오일,큰술,13.75,1.77,12.5,15.0,2
올리브유,작은술,5.25,0.5,5.0,6.0,4
올리브유,큰술,15.0,0.0,15.0,15.0,1
와사비,작은술,3.0,0.0,3.0,3.0,1
요거트,컵,200.0,0.0,200.0,200.0,1
요리당,작은술,6.0,0.0,6.0,6.0,1
요리당,큰술,15.0,0.0,15.0,15.0,1
우렁,큰술,12.5,0.0,12.5,12.5,1
우민찌,작은술,5.0,0.0,5.0,5.0,1
우유,큰술,15.0,0.0,15.0,15.0,1
우유,작은술,5.0,0.0,5.0,5.0,1
유자청,큰술,15.0,0.0,15.0,15.0,2
잣,알,1.0,0.0,1.0,1.0,1
잣,작은술,4.0,0.0,4.0,4.0,1
저염간장,작은술,4.5,0.5,4.0,5.0,3
저염된장,작은술,5.0,0.0,5.0,5.0,1
저염된장,큰술,15.0,0.0,15.0,15.0,1
저염소금,작은술,4.0,0.0,4.0,4.0,1
저염치즈,작은술,5.0,0.0,5.0,5.0,1
전분,작은술,5.0,0.0,5.0,5.0,1
쪽파,개,10.0,0.0,10.0,10.0,1
참기름,큰술,15.0,0.0,15.0,15.0,2
참기름,작은술,5.75,1.26,4.0,7.0,4
찹쌀,컵,210.0,0.0,210.0,210.0,1
청경채,개,16.25,5.3,12.5,20.0,2
청고추,개,20.0,0.0,20.0,20.0,1
청국장가루,작은술,5.0,0.0,5.0,5.0,1
청국장가루,큰술,10.0,0.0,10.0,10.0,1
청양고추,개,11.0,5.48,5.0,20.0,5
청파프리카,개,100.0,0.0,100.0,100.0,2
쳥양고추,개,9.0,0.0,9.0,9.0,1
치커리,줄기,3.22,0.19,3.0,3.33,3
카놀라유,작은술,4.5,0.0,4.5,4.5,2
칵테일새우,마리,4.0,0.0,4.0,4.0,1
컬리플라워,송이,120.0,0.0,120.0,120.0,1
케일,장,5.0,0.0,5.0,5.0,1
콩나물,봉지,180.0,0.0,180.0,180.0,1
크림치즈,작은술,5.0,0.0,5.0,5.0,1
키위,개,80.0,28.28,60.0,100.0,2
토마토,개,144.44,50.92,100.0,200.0,3
파,개,280.0,0.0,280.0,280.0,1
파,큰술,15.0,0.0,15.0,15.0,1
파프리카,개,100.0,0.0,100.0,100.0,1
표고버섯,개,10.83,3.82,7.5,15.0,3
표고버섯,장,10.0,0.0,10.0,10.0,2
풋고추,개,15.0,0.0,15.0,15.0,1
플레인요거트,개,77.5,10.61,70.0,85.0,2
플레인요거트,큰술,15.0,0.0,15.0,15.0,1
함초,작은술,6.0,0.0,6.0,6.0,1
해바라기씨,작은술,4.0,0.0,4.0,4.0,1
현미,컵,210.0,0.0,210.0,210.0,1
호두,알,6.0,0.0,6.0,6.0,1
호두,작은술,4.0,0.0,4.0,4.0,1
호두,큰술,15.0,0.0,15.0,15.0,1
호박,개,150.0,0.0,150.0,150.0,1
호박씨,작은술,4.0,0.0,4.0,4.0,1
홍고추,개,11.0,5.48,5.0,20.0,5
홍파프리카,개,100.0,0.0,100.0,100.0,2
화이트와인,작은술,5.0,0.0,5.0,5.0,1
황파프리카,개,97.78,3.85,93.33,100.0,3
후춧가루,작은술,4.0,0.0,4.0,4.0,1
흑임자,작은술,6.0,0.0,6.0,6.0,2
흰로즈케일,장,5.0,0.0,5.0,5.0,1
