INGR_NM,UNIT_NM,QUANTITY,GRAMS,CONV_WT
올리브유,큰술,1.0,15.0,15.0
쳥양고추,개,0.3333333333333333,3.0,9.0
저염치즈,작은술,2.0,10.0,5.0
ghen,알,1.0,10.0,10.0
잣,알,5.0,5.0,1.0
식용유,큰술,2.0,30.0,15.0
들깨가루,큰술,3.0,45.0,15.0
두유,큰술,3.0,45.0,15.0
꿀,큰술,1.0,15.0,15.0
참기름,작은술,1.0,7.0,7.0
레몬즙,작은술,1.0,7.0,7.0
검은깨,작은술,1.0,5.0,5.0
밥,공기,1.0,210.0,210.0
오렌지,개,0.2,40.0,200.0
사과,개,0.2,30.0,150.0
요거트,컵,1.0,200.0,200.0
블루베리,큰술,2.0,30.0,15.0
계란,개,0.3,20.0,66.66666666666667
계란,개,1.5,75.0,50.0
달걀,개,1.0,50.0,50.0
사과,개,2.0,500.0,250.0
달걀,개,1.0,50.0,50.0
