INGR_NM,GRAMS,UNIT_EXPR
황파프리카,50.0,1/2개
청파프리카,50.0,1/2개
고추장,5.0,1작은술
와사비,1.0,1/3작은술
고춧가루,2.0,1/2작은술
배,10.0,2cm
양파,2.0,1cm
마늘,1.0,1/5개
올리고당,5.0,1작은술
사과식초,5.0,1/2작은술
마늘종,60.0,10개
식용유,5.0,1/2작은술
검정깨,5.0,1작은술
청국장가루,5.0,1작은술
마요네즈,20.0,4작은술
대추,5.0,1개
새송이버섯,100.0,3개
올리브유,10.0,2작은술
두유,20.0,1⅓큰술
생크림,10.0,2작은술
청양고추,5.0,1/2개
백일송이버섯,65.0,1컵
파프리카,5.0,5×1cm
파프리카,5.0,5×1cm
카놀라유,3.0,2/3작은술
오이,30.0,3cm
사과,20.0,1/8개
당근,15.0,1/10개
파프리카,10.0,5ⅹ3cm
유자청,25.0,1⅔큰술
레몬즙,10.0,2작은술
카놀라유,3.0,2/3작은술
두부,120.0,1/3모
플레인요거트,70.0,1개
검은깨,8.0,1⅔작은술
청국장가루,10.0,1큰술
고구마,70.0,1/2개
단호박,30.0,4×6cm
설탕,2.0,1/3작은술
밥,180.0,1컵
시금치,50.0,1/2개
마,10.0,5cm
두유,150.0,3/4컵
버터,8.0,1½작은술
밥,210.0,1컵
당근,15.0,5cm
애호박,15.0,5cm
달걀,100.0,2개
표고버섯,15.0,2개
우렁,25.0,2큰술
들기름,5.0,1작은술
현미,140.0,2/3컵
찹쌀,140.0,2/3컵
무,35.0,1/20개
표고버섯,30.0,2개
올리브오일,15.0,1큰술
참기름,15.0,1큰술
다시마,15.0,5cm
간장,15.0,1큰술
쌀밥,420.0,2컵
김,4.0,1장
달걀,200.0,4개
베이컨,30.0,3장
소시지,30.0,1개
고춧가루,20.0,1큰술
참기름,6.0,1작은술
마늘,6.0,1작은술
두릅,20.0,2개
가지,20.0,1/5개
청경채,25.0,2개
슬라이스연어,30.0,2장
크림치즈,5.0,1작은술
레몬,5.0,1작은술
레드와인,30.0,2큰술
설탕,5.0,1작은술
바나나,100.0,1개
설탕,5.0,1/2작은술
호두,15.0,1큰술
딸기,100.0,5개
키위,100.0,1개
매실원액,15.0,1큰술
망고,20.0,1/5개
우유,45.0,3큰술
두부,70.0,1/5모
전분,10.0,2작은술
흑임자,2.0,1/3작은술
식용유,5.0,1작은술
간장,3.0,2/3작은술
올리고당,3.0,2/3작은술
생강즙,3.0,2/3작은술
풋고추,5.0,1/3개
순두부,80.0,1/3모
다시마,20.0,10cm
멸치,60.0,10개
보리된장,15.0,1큰술
오이고추,15.0,1개
당근,5.0,5cm
무,5.0,5cm
부추,5.0,6cm
양파,5.0,5cm
겨자분말,5.0,1작은술
식초,10.0,2작은술
설탕,10.0,2작은술
매실액,10.0,2작은술
실치,40.0,1컵
식초,20.0,1⅓큰술
오이,80.0,1/2개
무,200.0,1/3개
비트,10.0,5cm
쪽파,10.0,10cm
소금,2.0,1/2작은술
식초,20.0,1⅓큰술
설탕,10.0,2작은술
배추,10.0,1/60개
홍고추,5.0,1/2개
소금,5.0,1작은술
귤,100.0,1개
고춧가루,5.0,1작은술
마늘,10.0,2작은술
생강즙,5.0,1작은술
밥,30.0,쌀 13g
꼬막,60.0,꼬막살 20g
노란콩,25.0,불린것 52g
다시마국물,100.0,건다시마 5g
닭,170.0,닭고기살 무게 90g
소금,1.0,"절일 때 0.5g, 간 맞출 때 0.5g"
꽃게,70.0,꽃게살 30g
건도토리묵,30.0,불린것 50g
베이킹파우더,10.0,속재료
달걀,50.0,1개
달걀,50.0,1개
달걀,50.0,1개
달걀,50.0,1개
포도씨유,50.0,속재료
소금,2.0,비스킷재료
버터,60.0,속재료
달걀,50.0,1개
물,150.0,속재료
달걀,50.0,1개
당근,1.0,저염양념
달걀,50.0,1개
계란,65.0,1.5개
달걀,50.0,1개
건포도,20.0,아몬드우유
우유,180.0,토핑
마,30.0,1/3개
단호박,40.0,1/8개
아스파라거스,15.0,1/3개
영콘,20.0,1개
마늘,10.0,2개
쌀,200.0,1컴
닭,550.0,1마리
파,15.0,1큰술
양파,15.0,2*4cm
마늘,10.0,2쪽
홍고추,1.0,1/5개
올리브유,15.0,1큰술
쳥양고추,3.0,1/3개
저염치즈,10.0,2작은술
ghen,10.0,1알
잣,5.0,5알
식용유,30.0,2큰술
들깨가루,45.0,3큰술
두유,45.0,3큰술
꿀,15.0,1큰술
참기름,7.0,1작은술
레몬즙,7.0,1작은술
검은깨,5.0,1작은술
밥,210.0,1공기
