pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0077,moist_heat,A1328,LS_A0234,0.720713,된장,10.0,양념,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0116,moist_heat,A2357,LS_A0276,0.72,호박,30.0,부재료,4000.0,100,40.0,1.3333333333333333,3000.0,1.0
PAIR_0116,moist_heat,A2357,LS_A0276,0.72,된장,15.0,양념,1500.0,100,15.0,1.0,1500.0,1.0
PAIR_0116,moist_heat,A2357,LS_A0276,0.72,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0019,moist_heat,A0847,LS_A0081,0.719801,대파,10.0,부재료,675.0,100,6.75,0.675,1000.0,1.0
PAIR_0019,moist_heat,A0847,LS_A0081,0.719801,마늘,3.0,부재료,330.0,100,3.3,1.1,300.0,1.0
PAIR_0019,moist_heat,A0847,LS_A0081,0.719801,대파,5.0,부재료,675.0,100,6.75,1.35,500.0,1.0
PAIR_0019,moist_heat,A0847,LS_A0081,0.719801,마늘,2.0,부재료,330.0,100,3.3,1.65,200.0,1.0
PAIR_0019,moist_heat,A0847,LS_A0081,0.719801,물,600.0,조미료,50000.0,100,500.0,0.8333333333333334,60000.0,1.0
PAIR_0099,moist_heat,A0847,LS_A0262,0.719801,대파,10.0,부재료,600.0,100,6.0,0.6,1000.0,1.0
PAIR_0099,moist_heat,A0847,LS_A0262,0.719801,마늘,3.0,부재료,300.0,100,3.0,1.0,300.0,1.0
PAIR_0099,moist_heat,A0847,LS_A0262,0.719801,대파,5.0,부재료,600.0,100,6.0,1.2,500.0,1.0
PAIR_0099,moist_heat,A0847,LS_A0262,0.719801,마늘,2.0,부재료,300.0,100,3.0,1.5,200.0,1.0
PAIR_0099,moist_heat,A0847,LS_A0262,0.719801,물,600.0,조미료,45000.0,100,450.0,0.75,60000.0,1.0
PAIR_0023,moist_heat,A1281,LS_A0098,0.71719,고등어,60.0,부재료,11000.0,120,91.66666666666667,1.5277777777777777,7200.0,1.0
