food_cd,food_nm,reason
D103-164400000-0001,우동_일식,중복 FOOD_CD
D103-165000000-0001,우동볶음,중복 FOOD_CD
D103-167000000-0001,월남쌈,중복 FOOD_CD
D103-168000000-0001,자장면,중복 FOOD_CD
D103-172000000-0001,짬뽕,중복 FOOD_CD
D103-173000000-0001,쫄면,중복 FOOD_CD
D103-174000000-0001,칼국수,중복 FOOD_CD
D103-174240000-0001,칼국수_바지락,중복 FOOD_CD
D103-175000000-0001,콩국수,중복 FOOD_CD
D104-181000000-0001,닭죽,중복 FOOD_CD
D104-185060000-0001,스프_양송이버섯,중복 FOOD_CD
D104-188000000-0001,오리죽,중복 FOOD_CD
D104-191000000-0001,전복죽,중복 FOOD_CD
D104-194000000-0001,채소죽,중복 FOOD_CD
D104-195000000-0001,팥죽,중복 FOOD_CD
D104-197000000-0001,호박죽,중복 FOOD_CD
D104-198000000-0001,흑임자 죽,중복 FOOD_CD
D105-199000000-0001,갈비탕,중복 FOOD_CD
D105-200000000-0001,감자국,중복 FOOD_CD
D105-203000000-0001,곰탕,중복 FOOD_CD
D105-203330000-0001,곰탕_우거지,중복 FOOD_CD
D105-204150000-0001,굴국_무,중복 FOOD_CD
D105-205000000-0001,김치국,중복 FOOD_CD
D105-205370000-0001,김치국_콩나물,중복 FOOD_CD
D105-208000000-0001,내장탕,중복 FOOD_CD
D105-209160000-0001,냉국_미역,중복 FOOD_CD
D105-209163700-0001,냉국_미역_오이,중복 FOOD_CD
D105-210000000-0001,달걀국,중복 FOOD_CD
D105-211260000-0001,달걀탕_순두부,중복 FOOD_CD
D105-213000000-0001,닭곰탕,중복 FOOD_CD
D105-215000000-0001,도가니탕,중복 FOOD_CD
D105-216010000-0001,된장국_감자,중복 FOOD_CD
D105-216070000-0001,된장국_냉이,중복 FOOD_CD
D105-216160000-0001,된장국_미역,중복 FOOD_CD
D105-216180000-0001,된장국_배추,중복 FOOD_CD
D105-216270000-0001,된장국_시금치,중복 FOOD_CD
D105-216280000-0001,된장국_시래기,중복 FOOD_CD
D105-216290000-0001,된장국_쑥,중복 FOOD_CD
D105-216300000-0001,된장국_아욱,중복 FOOD_CD
D105-216310000-0001,된장국_얼갈이배추,중복 FOOD_CD
D105-216330000-0001,된장국_우거지,중복 FOOD_CD
D105-216370000-0001,된장국_콩나물,중복 FOOD_CD
D105-216390000-0001,된장국_해물,중복 FOOD_CD
D105-216400000-0001,된장국_호박,중복 FOOD_CD
D105-216410000-0001,된장국_호박잎,중복 FOOD_CD
D105-219240000-0001,무국_소고기,중복 FOOD_CD
D105-219420000-0001,무국_홍합,중복 FOOD_CD
D105-220140000-0001,묵국_메밀묵,중복 FOOD_CD
D105-223000000-0001,미역국,중복 FOOD_CD
D105-223100000-0001,미역국_대합,중복 FOOD_CD
D105-223220000-0001,미역국_새우,중복 FOOD_CD
