rcp_seq,rcp_nm,reason
3202,자색고구마 버터크림 빵,조리법매칭실패:기타
3205,치아바타 피자빵,조리법매칭실패:기타
3282,어린잎채소 건두부말이,조리법매칭실패:기타
3465,해산물 완자볼을 곁들인 양장피 콩국수,조리법매칭실패:기타
3011,배 깍두기,조리법매칭실패:기타
3207,새우게살 파프리카롤,조리법매칭실패:기타
3247,콩국물소스를 곁들인 게살 냉채,조리법매칭실패:기타
2976,콜라비 깍두기,조리법매칭실패:기타
2981,비타 오이 물김치,조리법매칭실패:기타
3164,청경채 김치,조리법매칭실패:기타
2978,곤약 감자조림,조리법매칭실패:기타
3165,요거트강화순무김치,조리법매칭실패:기타
3080,구기자모듬장조림,조리법매칭실패:기타
3166,오미자저염나박김치,조리법매칭실패:기타
3212,메밀면 샐러드,조리법매칭실패:기타
3573,오리들깨 겨자소스 초무침,조리법매칭실패:기타
2980,비타 오이 물김치,조리법매칭실패:기타
3167,배물김치,조리법매칭실패:기타
3168,성주참외동치미,조리법매칭실패:기타
3683,땅콩 밀푀유 샌드,조리법매칭실패:기타
874,골뱅이무침,조리법매칭실패:기타
3169,달콤과일깍두기,조리법매칭실패:기타
3216,비트 단호박 파스타,조리법매칭실패:기타
3271,해조비빔국수,조리법매칭실패:기타
877,김자반,조리법매칭실패:기타
888,연어냉채,조리법매칭실패:기타
2984,"연근샐러드, 흑임자소스",조리법매칭실패:기타
3170,배깍두기,조리법매칭실패:기타
3217,닭고기 찰깨빵,조리법매칭실패:기타
3577,부추 배무침,조리법매칭실패:기타
895,아보카도 두부 샐러드,조리법매칭실패:기타
897,과일 젤리,조리법매칭실패:기타
900,복숭아샤벳,조리법매칭실패:기타
903,과일 주스 조림,조리법매칭실패:기타
2994,비름나물 된장무침,조리법매칭실패:기타
3171,곤약백김치말이,조리법매칭실패:기타
3291,참치두부 주먹밥,조리법매칭실패:기타
3578,열무톳김치,조리법매칭실패:기타
3679,콩가루 쑥 다쿠아즈,조리법매칭실패:기타
915,멜론스프,조리법매칭실패:기타
2990,고구마 김치,조리법매칭실패:기타
3172,단감피클,조리법매칭실패:기타
3219,들깨 삼계면,조리법매칭실패:기타
3680,살레마이슈,조리법매칭실패:기타
934,과일 요구르트 샐러드,조리법매칭실패:기타
2989,유부 우엉 잡채,조리법매칭실패:기타
2998,치즈두부샐러드,조리법매칭실패:기타
3173,스마일오이피클,조리법매칭실패:기타
3220,참나물 소보로덮밥,조리법매칭실패:기타
3287,사과채소타코,조리법매칭실패:기타
3681,코코넛 수플레 치즈케이크,조리법매칭실패:기타
3690,세 가지 맛 공기과자,조리법매칭실패:기타
947,홍시 생밤 무침,조리법매칭실패:기타
950,두부양갱,조리법매칭실패:기타
952,복숭아 화채,조리법매칭실패:기타
954,홍시 쉐이크,조리법매칭실패:기타
3174,오이파프리카새콤무침,조리법매칭실패:기타
3177,양상추샐러드 & 과일드레싱,조리법매칭실패:기타
3181,시금치들깨무침,조리법매칭실패:기타
3281,채소롤초밥,조리법매칭실패:기타
3682,초코바나나 두부크림빵,조리법매칭실패:기타
966,배추 달걀볶음,조리법매칭실패:기타
972,서양식 씨리얼(뮤즐리),조리법매칭실패:기타
2953,"제주도 빙떡, 귤간장소스",조리법매칭실패:기타
2999,마늘칩 감자샐러드,조리법매칭실패:기타
3082,시래기닭조림,조리법매칭실패:기타
3175,감귤콩샐러드,조리법매칭실패:기타
3190,바질향이 향긋한 고구마 찰 바케트,조리법매칭실패:기타
3222,두유 크림 현미리소토,조리법매칭실패:기타
3283,당근새우 카나페,조리법매칭실패:기타
3290,아보카도 수란샐러드,조리법매칭실패:기타
986,나스와 샐러드,조리법매칭실패:기타
990,산마드래싱과 실곤약 샐러드,조리법매칭실패:기타
2993,무염 겉절이,조리법매칭실패:기타
3176,누룽지상추샐러드&유자드레싱,조리법매칭실패:기타
3194,견과류 미숫가루 빵,조리법매칭실패:기타
3223,돼지 함초 덮밥,조리법매칭실패:기타
3687,콩감태유자 스콘,조리법매칭실패:기타
998,고구마란,조리법매칭실패:기타
1000,수삼당근정과,조리법매칭실패:기타
1001,식혜 팥빙수,조리법매칭실패:기타
1003,잡곡강정,조리법매칭실패:기타
1004,잣 호두 강정,조리법매칭실패:기타
1005,현미 크레이프,조리법매칭실패:기타
2995,삼색 꽃 화전,조리법매칭실패:기타
3179,포항초사과샐러드,조리법매칭실패:기타
3224,생선 파피요트,조리법매칭실패:기타
3688,클로－바,조리법매칭실패:기타
1016,밥 샌드위치,조리법매칭실패:기타
1030,클럽 샌드위치,조리법매칭실패:기타
756,시금치비트무침,조리법매칭실패:기타
761,멍게비빔밥,조리법매칭실패:기타
767,민들레무침,조리법매칭실패:기타
768,취나물들깨무침,조리법매칭실패:기타
769,토마토소박이,조리법매칭실패:기타
770,풋마늘오징어김치,조리법매칭실패:기타
1042,시저 샐러드,조리법매칭실패:기타
1046,태국식 불고기 샐러드,조리법매칭실패:기타
772,딸기연두부쉐이크,조리법매칭실패:기타
1051,과일 샐러드 또띠아,조리법매칭실패:기타
1054,수박 화채,조리법매칭실패:기타
1057,누룽지 요거트 파르페,조리법매칭실패:기타
1059,청국장지짐 케일쌈밥,조리법매칭실패:기타
1061,잡곡강정밥,조리법매칭실패:기타
1063,곤드레 밥버거,조리법매칭실패:기타
1065,먹골배 카레주먹밥,조리법매칭실패:기타
1066,신호등 통통이(어린이 곤약삼색주먹밥),조리법매칭실패:기타
1071,곤약 백김치 말이,조리법매칭실패:기타
1084,오! 푸룻한 뿌리채소,조리법매칭실패:기타
805,새싹 비빔밥,조리법매칭실패:기타
808,감자냉채,조리법매칭실패:기타
810,나박김치,조리법매칭실패:기타
818,상추 겉절이,조리법매칭실패:기타
1086,파프리카깍두기(어린이용),조리법매칭실패:기타
1087,과일 김치,조리법매칭실패:기타
1088,오이 짱아지 무침,조리법매칭실패:기타
1089,비트 배추피클,조리법매칭실패:기타
1090,오징어와사비마요무침,조리법매칭실패:기타
1092,고구마빵&과일잼,조리법매칭실패:기타
1094,바나나 속 달걀빵,조리법매칭실패:기타
1097,고구마 바나나 무스,조리법매칭실패:기타
819,수삼 냉채,조리법매칭실패:기타
821,양배추 깻잎 피클,조리법매칭실패:기타
824,오이초절임,조리법매칭실패:기타
826,참기름 드레싱의 즉석 샐러드,조리법매칭실패:기타
832,도토리묵 콩국,조리법매칭실패:기타
1107,수(Sugaer)다(Down) 고구마 케이크,조리법매칭실패:기타
1110,완두콩 롤,조리법매칭실패:기타
1118,콩 판나코타,조리법매칭실패:기타
843,녹차 파나코타,조리법매칭실패:기타
1124,오미자 샹그리아,조리법매칭실패:기타
1125,톡톡! 오미자 펀치,조리법매칭실패:기타
1126,사과비트에이드,조리법매칭실패:기타
1127,밤 라떼,조리법매칭실패:기타
1128,자두 라떼,조리법매칭실패:기타
1129,와인배숙,조리법매칭실패:기타
1130,유자애(愛) 빠지다,조리법매칭실패:기타
1131,쌀콩죽 요거트,조리법매칭실패:기타
1132,상큼하자두,조리법매칭실패:기타
1133,비트두유,조리법매칭실패:기타
1134,렌틸콩 두유,조리법매칭실패:기타
1135,군고구마 라떼,조리법매칭실패:기타
2954,단호박견과류샐러드,조리법매칭실패:기타
2955,함박스테이크&토마토카레소스,조리법매칭실패:기타
2956,모둠채소 수제피클,조리법매칭실패:기타
2959,"소고기 가라아게, 칠리소스",조리법매칭실패:기타
2970,두부해물완자,조리법매칭실패:기타
2975,톳나물 두부무침,조리법매칭실패:기타
3002,"돈수육, 해물냉채",조리법매칭실패:기타
3003,"알록달록화전, 멸치두부전",조리법매칭실패:기타
1136,배·라임 모히또,조리법매칭실패:기타
1137,포도청 보리 수단,조리법매칭실패:기타
1138,감자주스,조리법매칭실패:기타
2974,양파홍초절임,조리법매칭실패:기타
3005,고구마순나물,조리법매칭실패:기타
3006,저염 겉절이,조리법매칭실패:기타
3009,아욱 된장무침,조리법매칭실패:기타
3180,고구마순들깨나물,조리법매칭실패:기타
3182,시금치토마토무침,조리법매칭실패:기타
3183,바나나미숫가루쉐이크,조리법매칭실패:기타
3185,배쨈 식빵,조리법매칭실패:기타
3186,사과 견과류 식빵,조리법매칭실패:기타
3187,카카오 깜빠뉴,조리법매칭실패:기타
3191,곶감 베이글,조리법매칭실패:기타
3192,단호박크림을 곁들인 브로콜리 베이글,조리법매칭실패:기타
3225,어묵 잡채,조리법매칭실패:기타
3227,토마토 비빔국수,조리법매칭실패:기타
3228,멸치 전복 저염국수,조리법매칭실패:기타
2961,유부초절임,조리법매칭실패:기타
3196,속이 든든든한 밥 빵,조리법매칭실패:기타
3230,참외지 리코타버무리,조리법매칭실패:기타
3231,과일 피클 젤리,조리법매칭실패:기타
3232,바나나 쑥두부푸딩,조리법매칭실패:기타
3233,채소말이와 고구마가지구이,조리법매칭실패:기타
3234,들깨 곤약 냉채,조리법매칭실패:기타
3236,요거트 단호박 샐러드,조리법매칭실패:기타
3097,낙지모듬초말이,조리법매칭실패:기타
3197,삼각김밥 빵,조리법매칭실패:기타
3235,병아리콩 컵케이크,조리법매칭실패:기타
3294,황금팽이 비빔국수,조리법매칭실패:기타
3689,초코타르트,조리법매칭실패:기타
