ingredient_category,ingredient_role,group_type,base_amount_g,target_serving_n,ratio,base_recipe_id,target_recipe_id,label_b
부재료,부재료,dry_heat,10.0,100,0.5,837,2846,0.895
부재료,부재료,dry_heat,5.0,100,1.0,837,2846,0.895
양념류,조미료,dry_heat,1.0,100,1.5,837,2846,0.655
부재료,부재료,moist_heat,5.0,260,0.7692,1605,2595,0.895
주재료,주재료,moist_heat,40.0,260,1.3462,1605,2595,0.933
부재료,부재료,moist_heat,10.0,260,0.5769,1605,2595,0.895
양념류,조미료,dry_heat,1.0,100,2.0,784,2806,0.655
주재료,주재료,dry_heat,150.0,100,0.6667,183,2967,0.933
유지류,부재료,dry_heat,10.0,100,0.8,183,2967,0.757
주재료,주재료,moist_heat,20.0,100,0.75,2413,2695,0.933
양념류,조미료,moist_heat,25.0,100,0.8,2413,2695,0.655
부재료,부재료,moist_heat,5.0,100,0.3,1190,2754,0.895
부재료,부재료,moist_heat,5.0,100,1.6,1190,2754,0.895
주재료,주재료,moist_heat,30.0,100,1.6667,1190,2754,0.933
부재료,부재료,moist_heat,3.0,100,0.6667,1190,2754,0.895
부재료,부재료,moist_heat,3.0,100,0.5,1190,2754,0.895
부재료,부재료,dry_heat,70.0,100,1.4286,2186,2810,0.895
부재료,부재료,dry_heat,5.0,100,2.0,2186,2810,0.895
유지류,조미료,dry_heat,1.0,100,2.0,2186,2810,0.757
주재료,주재료,dry_heat,50.0,100,1.2,2186,2810,0.933
양념류,조미료,moist_heat,5.0,100,2.4,2212,2735,0.655
양념류,조미료,no_heat,0.5,100,2.0,815,2820,0.655
양념류,조미료,no_heat,1.0,100,3.0,815,2820,0.655
부재료,부재료,no_heat,1.0,100,2.5,815,2820,0.895
부재료,부재료,dry_heat,10.0,100,2.0,2100,2680,0.895
양념류,조미료,dry_heat,0.01,100,2.0,2100,2680,0.655
양념류,조미료,dry_heat,0.3,100,1.6667,608,2946,0.655
부재료,부재료,dry_heat,5.0,100,2.0,2100,2680,0.895
양념류,조미료,dry_heat,1.0,100,0.7,2100,2680,0.655
유지류,부재료,dry_heat,1.0,100,3.0,2100,2680,0.757
부재료,부재료,moist_heat,40.0,100,1.0,1624,2980,0.895
부재료,부재료,moist_heat,10.0,100,2.0,1624,2980,0.895
양념류,조미료,moist_heat,0.5,100,2.0,1624,2980,0.655
주재료,주재료,dry_heat,50.0,100,3.0,1513,2923,0.933
양념류,조미료,dry_heat,0.5,100,1.0,1513,2923,0.655
양념류,조미료,no_heat,3.0,100,0.6667,1995,2874,0.655
양념류,조미료,no_heat,1.0,100,1.5,2374,2914,0.655
양념류,조미료,moist_heat,20.0,100,1.5,126,2777,0.655
수분류,부재료,moist_heat,300.0,100,1.1667,126,2777,1.058
부재료,부재료,moist_heat,10.0,100,2.0,126,2777,0.895
주재료,주재료,moist_heat,60.0,100,2.6667,1293,3011,0.933
부재료,부재료,moist_heat,20.0,100,3.0,1293,3011,0.895
부재료,부재료,dry_heat,10.0,100,2.0,1500,2808,0.895
수분류,부재료,moist_heat,300.0,100,0.8333,698,2754,1.058
부재료,부재료,no_heat,5.0,100,1.0,2297,2908,0.895
유지류,부재료,dry_heat,5.0,100,1.0,2188,2952,0.757
부재료,부재료,dry_heat,30.0,100,1.0,2188,2952,0.895
유지류,조미료,dry_heat,1.0,100,3.0,1315,2794,0.757
양념류,조미료,dry_heat,2.0,100,2.5,1315,2794,0.655
유지류,조미료,dry_heat,1.0,100,1.5,1315,2794,0.757
양념류,조미료,dry_heat,1.0,100,0.5,99,2943,0.655
부재료,부재료,dry_heat,15.0,100,0.3333,99,2943,0.895
양념류,조미료,no_heat,5.0,100,0.8,1914,2908,0.655
양념류,조미료,no_heat,3.0,100,1.3333,1914,2908,0.655
양념류,조미료,moist_heat,1.0,100,3.0,2258,2896,0.655
부재료,부재료,dry_heat,25.0,100,0.4,1538,2929,0.895
부재료,부재료,no_heat,3.0,100,0.8333,2173,2892,0.895
양념류,조미료,moist_heat,1.0,100,2.0,1869,2711,0.655
부재료,부재료,moist_heat,5.0,100,0.2,2385,2472,0.895
부재료,부재료,dry_heat,5.0,100,2.0,2282,2942,0.895
주재료,주재료,dry_heat,5.0,100,1.0,2282,2942,0.933
양념류,조미료,moist_heat,1.0,100,0.8,1664,2719,0.655
부재료,부재료,moist_heat,1.0,100,1.0,1664,2719,0.895
부재료,부재료,no_heat,1.0,100,3.0,1695,2917,0.895
부재료,부재료,no_heat,3.0,100,0.6667,1695,2917,0.895
양념류,조미료,no_heat,3.0,100,2.3333,1695,2917,0.655
유지류,조미료,no_heat,1.0,100,1.0,1695,2917,0.757
유지류,부재료,moist_heat,15.0,100,0.3333,323,2704,0.757
양념류,조미료,no_heat,2.0,100,3.0,2032,2876,0.655
양념류,조미료,dry_heat,0.3,100,1.0,1736,2791,0.655
유지류,조미료,dry_heat,1.0,100,2.0,890,2680,0.757
부재료,부재료,dry_heat,20.0,100,1.5,890,2680,0.895
부재료,부재료,dry_heat,5.0,100,1.4,2168,2792,0.895
