label,n,MAE,MAPE(%),RMSE
전체,342,796.6696,32.6836,2228.8517
group_type=dry_heat,100,570.51,32.5915,1144.1237
group_type=moist_heat,179,1145.3631,32.934,2940.3392
group_type=no_heat,63,164.9206,32.118,570.6784
role=부재료,218,736.8807,33.3588,1368.0168
role=양념,20,125.75,15.9836,227.1701
role=조미료,96,945.8958,34.1089,3570.3032
role=주재료,8,2312.5,38.9286,2877.7161
